query,batch_index,index_of_audio_output_tensor),audio_file_name,similarity_score_by_model,user_relevance_score
large group birds singing various patterns,4793,659,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/birds_long.wav,0.3598,10
large group birds singing various patterns,4793,243,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Forest with Birds and Wind in the Trees.wav,0.3524,8
large group birds singing various patterns,4793,680,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Evening Glade.wav,0.3467,10
large group birds singing various patterns,4793,558,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20070318.forest.00.wav,0.3458,10
large group birds singing various patterns,4793,636,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Duck_quack_2_Sweden.wav,0.3429,10
large group birds singing various patterns,4793,727,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/2013622thunder.wav,0.3413,10
large group birds singing various patterns,4793,106,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Outdoor nature sounds.wav,0.3373,6
large group birds singing various patterns,4793,198,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20080504.horse.drawn.00.wav,0.3369,4
coins dropped onto glass tablee,4020,434,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Small Junk Dropped.wav,0.571,10
coins dropped onto glass tablee,4020,500,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Coins Moving in Jar.wav,0.4636,9
coins dropped onto glass tablee,4020,531,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Metallic  Gate.wav,0.4348,1
coins dropped onto glass tablee,4020,488,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Drop Coin into Glass.wav,0.386,8
coins dropped onto glass tablee,4020,213,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Drawer_handle_clap_OWI.wav,0.3638,3
coins dropped onto glass tablee,4020,29,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/junk_box001.wav,0.3636,3
coins dropped onto glass tablee,4020,378,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Tools Ratchet.wav,0.3597,1
coins dropped onto glass tablee,4020,624,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/box of valves.wav,0.3545,2
coins dropped onto glass tablee,4020,960,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/toy rattle 2.wav,0.351,2
coins dropped onto glass tablee,4020,944,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/rummage in metal box.wav,0.2928,3
coins dropped onto glass table,7758,701,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/button_drop.wav,0.2839,3
coins dropped onto glass table,7758,706,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Door Creaking 01.wav,0.2796,1
coins dropped onto glass table,7758,982,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Shower Driping Fast to Slow.wav,0.2717,2
coins dropped onto glass table,7758,1031,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Running Dirt Tennis Shoes.wav,0.2667,1
coins dropped onto glass table,7758,574,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Metallic Lingo.wav,0.2654,3
coins dropped onto glass table,7758,668,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Microwave Door Open Close .wav,0.2616,1
coins dropped onto glass table,7758,40,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/fallingrice1.wav,0.257,1
coins dropped onto glass table,7758,276,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/sw_SolitaryCricket_NR_01.wav,0.255,1
coins dropped onto glass table,7758,852,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Roosters and dogs wake up in the small village of La Preciosita.  A morning in Mexican countryside.wav,0.2514,1
coins dropped onto glass table,7758,868,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/quacking-squirt-bottle.wav,0.2501,1
coins dropped onto glass table,8460,1019,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/hostpital-automatic-bed.wav,0.2496,1
coins dropped onto glass table,8460,12,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/lackey070329_11_52_am_jackhammer.wav,0.2452,1
coins dropped onto glass table,8460,933,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/wood1.wav,0.2442,1
coins dropped onto glass table,8460,354,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/SeaShell_02.wav,0.2406,1
coins dropped onto glass table,8460,397,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20080505_1309unlock_doors.wav,0.2386,1
coins dropped onto glass table,8460,819,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/FAN STOP.wav,0.2326,1
coins dropped onto glass table,8460,534,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Clock.Windup.Bell.Antique.wav,0.2311,1
coins dropped onto glass table,8460,752,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/QuietForestSpringEvening.wav,0.2272,1
coins dropped onto glass table,8460,809,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Queen Street Mill, loom running then stops.wav",0.2267,1
coins dropped onto glass table,8460,201,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20090105.slicing.wav,0.2255,1
coins dropped onto glass table,1519,210,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Waiting for the start and applause.wav,0.2255,1
coins dropped onto glass table,1519,66,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/slam.wav,0.2253,1
coins dropped onto glass table,1519,224,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Foley bullet hit metal pipe.wav,0.2212,1
coins dropped onto glass table,1519,683,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/451__mikejedw__bong2_variant#2.wav,0.2198,1
coins dropped onto glass table,1519,89,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Grinding sugar.wav,0.2161,1
coins dropped onto glass table,1519,944,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/rummage in metal box.wav,0.2156,1
coins dropped onto glass table,1519,940,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Door handle squeaks.wav,0.213,1
coins dropped onto glass table,1519,812,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/dishes rattle.wav,0.211,1
coins dropped onto glass table,1519,202,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Marker on paper.wav,0.2107,1
coins dropped onto glass table,1519,261,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/howling_wind.wav,0.2089,1
coins dropped onto glass table,4070,547,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Rocks - hits.wav,0.2083,1
coins dropped onto glass table,4070,299,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/C Minor Chords Musical Soundscape.wav,0.2073,1
coins dropped onto glass table,4070,545,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Morning Ride 2.wav,0.2069,1
coins dropped onto glass table,4070,821,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Squeeky.wav,0.2067,1
coins dropped onto glass table,4070,404,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/02668 stripwood noises.wav,0.205,1
coins dropped onto glass table,4070,872,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Remix of 101980__pyr0x__growl_variants.wav,0.205,1
coins dropped onto glass table,4070,373,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/RKeaton_EMF366_12_Tearing Thick Paper.wav,0.204,1
coins dropped onto glass table,4070,893,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/bathroom fan.wav,0.2001,1
coins dropped onto glass table,4070,389,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Collingwood bees, bumble bees.wav",0.1996,1
coins dropped onto glass table,4070,637,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Creaky wooden steps, down and up.wav",0.1958,1
thunderstorm occurring while its raining outside,1647,333,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/growling thunder.wav,0.5915,10
thunderstorm occurring while its raining outside,1647,479,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Wind moaning through gap in door.wav,0.5384,1
thunderstorm occurring while its raining outside,1647,664,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/fdv_orage.wav,0.5383,10
thunderstorm occurring while its raining outside,1647,964,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Close Cracking Thunder.wav,0.5227,7
thunderstorm occurring while its raining outside,1647,187,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Chrysalism.wav,0.5169,10
thunderstorm occurring while its raining outside,1647,906,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/windy winter day, wind in trees, from distance.wav",0.5134,6
thunderstorm occurring while its raining outside,1647,499,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Int. Car Drive 1.wav,0.5126,1
thunderstorm occurring while its raining outside,1647,716,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Rain_thunder-20120406-154324.wav,0.5126,10
thunderstorm occurring while its raining outside,1647,463,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/enoesque-Thunder and Rain 1.wav,0.5119,10
thunderstorm occurring while its raining outside,1647,240,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/27 hn_birdspecking.wav,0.5108,5
thunderstorm occurring while its raining outside,9847,827,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/stereo ambient indoors living room heavy traffic outside.wav,0.5027,1
thunderstorm occurring while its raining outside,9847,113,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Rain hitting leafs.wav,0.5019,5
thunderstorm occurring while its raining outside,9847,110,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/bridge.wav,0.5014,1
thunderstorm occurring while its raining outside,9847,816,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/07 storm - orage.wav,0.5006,10
thunderstorm occurring while its raining outside,9847,174,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Thunder - Guangzhou - China - Quiet.wav,0.4996,7
thunderstorm occurring while its raining outside,9847,315,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/cars over bridge decking.wav,0.4802,3
thunderstorm occurring while its raining outside,9847,136,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/AlleyWater.wav,0.471,1
thunderstorm occurring while its raining outside,9847,900,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/light rain 1.wav,0.4589,7
thunderstorm occurring while its raining outside,9847,1004,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Wind and Rain.wav,0.4469,7
thunderstorm occurring while its raining outside,9847,533,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Thunder burst with rain.wav,0.4456,10
thunderstorm occurring while its raining outside,9769,532,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/light suburban ambiance.wav,0.4426,1
thunderstorm occurring while its raining outside,9769,822,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/kijjaz - Bangkok Rain and Thunder 01.wav,0.4394,10
thunderstorm occurring while its raining outside,9769,360,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Ambience - St Kilda Beach - waves lapping rocks, people nearby, seagulls.wav",0.4378,3
thunderstorm occurring while its raining outside,9769,96,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/R09_0005 bird ambience.wav,0.4376,5
thunderstorm occurring while its raining outside,9769,288,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Heavy Wind.wav,0.4352,3
thunderstorm occurring while its raining outside,9769,619,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/latenighttraffic.wav,0.4337,1
thunderstorm occurring while its raining outside,9769,63,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/09-07-14_2338_Foz, fisherman next to the river.wav",0.4317,5
thunderstorm occurring while its raining outside,9769,189,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Heavy rain and thunder in Oklahoma.wav,0.4312,4
thunderstorm occurring while its raining outside,9769,734,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Ambience in Sugadh (ESI institute) in Gujrat.wav,0.4303,1
thunderstorm occurring while its raining outside,9769,857,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/windroar_constant_1m12s.wav,0.4302,7
thunderstorm occurring while its raining outside,2557,738,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Thunder3.wav,0.4295,7
thunderstorm occurring while its raining outside,2557,244,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Rain on awning, canopy.wav",0.4272,10
thunderstorm occurring while its raining outside,2557,881,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Hunebed D26 Drouwenerveld.wav,0.4248,5
thunderstorm occurring while its raining outside,2557,727,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/2013622thunder.wav,0.4235,5
thunderstorm occurring while its raining outside,2557,998,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Donner2.wav,0.4221,9
thunderstorm occurring while its raining outside,2557,761,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Cruiseship - passenger library.wav,0.4217,8
thunderstorm occurring while its raining outside,2557,254,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Pasir Panjang Calm Ocean.wav,0.4208,6
thunderstorm occurring while its raining outside,2557,50,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/ShortCarRain.wav,0.4164,6
thunderstorm occurring while its raining outside,2557,888,"/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Cruiseship - outside, night.wav",0.4145,5
thunderstorm occurring while its raining outside,2557,54,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/junction_night_traffic.wav,0.4142,4
thunderstorm occurring while its raining outside,9258,472,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Traffic and pedestrians.wav,0.411,1
thunderstorm occurring while its raining outside,9258,452,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Cityscape Compounded 01.wav,0.4076,5
thunderstorm occurring while its raining outside,9258,681,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/crossing the river.wav,0.4067,1
thunderstorm occurring while its raining outside,9258,498,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Spring Birds Raw (New Jersey).wav,0.4032,1
thunderstorm occurring while its raining outside,9258,628,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/street 2.wav,0.4012,1
thunderstorm occurring while its raining outside,9258,935,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Outside02.wav,0.3974,1
thunderstorm occurring while its raining outside,9258,810,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/tin cans wind 1 - 16.1.11.wav,0.3965,1
thunderstorm occurring while its raining outside,9258,1029,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Swim Meet.wav,0.3953,6
thunderstorm occurring while its raining outside,9258,578,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/ResidentialFallNight_crickets.wav,0.3944,1
thunderstorm occurring while its raining outside,9258,433,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/spooky compressor.wav,0.3938,2
A flag rustles in the wind while the metal hits the pole,7382,734,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Ambience in Sugadh (ESI institute) in Gujrat.wav,0.4997,10
A flag rustles in the wind while the metal hits the pole,7382,843,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/POLLA AIGUA 0.16.wav,0.4945,4
A flag rustles in the wind while the metal hits the pole,7382,129,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/a flag is waving at the pole.wav,0.4753,10
A flag rustles in the wind while the metal hits the pole,7382,810,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/tin cans wind 1 - 16.1.11.wav,0.4423,2
A flag rustles in the wind while the metal hits the pole,7382,136,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/AlleyWater.wav,0.4369,1
A flag rustles in the wind while the metal hits the pole,7382,422,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/STE-027-edit.wav,0.4312,1
A flag rustles in the wind while the metal hits the pole,7382,609,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/kite_seaside.wav,0.4252,1
A flag rustles in the wind while the metal hits the pole,7382,737,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/FOLEY_Ext_Garbage_Hauling_001.wav,0.425,3
A flag rustles in the wind while the metal hits the pole,7382,398,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/outdoors ambient windy wind leaves rustle hum.wav,0.42,1
A flag rustles in the wind while the metal hits the pole,7382,171,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Flint being struck.wav,0.4142,1
A flag rustles in the wind while the metal hits the pole,9134,564,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/adw018raw.wav,0.4139,5
A flag rustles in the wind while the metal hits the pole,9134,270,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/20150330_02.soft.wind.day.MS.wav,0.4061,1
A flag rustles in the wind while the metal hits the pole,9134,942,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/smallgrocery.wav,0.4047,1
A flag rustles in the wind while the metal hits the pole,9134,930,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Creacking Oak 6bft  SHORT 130418_00.wav,0.4045,1
A flag rustles in the wind while the metal hits the pole,9134,348,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Storm Ambience.wav,0.4039,1
A flag rustles in the wind while the metal hits the pole,9134,499,/Users/dilipharish/Master-Thesis/dh-freesound-crossmodal-search/data/audio/evaluation/Int. Car Drive 1.wav,0.4037,1
